word,ratio,cantidadLetras,gotAccent,gotCedilla,doubleVocal,enCC,enVocalTrigraph,enGraphs,enEnding,y
planeta,0.4286,7,0,0,0,0,0,0,0,1
element,0.4286,7,0,0,0,0,0,0,0,0
swim,0.25,4,0,0,0,1,0,0,0,0
punt,0.25,4,0,0,0,0,0,0,0,1
trencar,0.2857,7,0,0,0,0,0,0,0,1
sal,0.3333,3,0,0,0,0,0,0,0,1
nature,0.5,6,0,0,0,0,0,0,0,0
llarg,0.2,5,0,0,0,0,0,0,0,1
very,0.25,4,0,0,0,0,0,0,0,0
bird,0.25,4,0,0,0,0,0,0,0,0
nose,0.5,4,0,0,0,0,0,0,0,0
pare,0.5,4,0,0,0,0,0,0,0,1
nit,0.3333,3,0,0,0,0,0,0,0,1
oh,0.5,2,0,0,0,0,0,0,0,1
eat,0.6667,3,0,0,0,0,0,0,0,0
instant,0.2857,7,0,0,0,0,0,0,0,0
cold,0.25,4,0,0,0,0,0,0,0,0
petit,0.4,5,0,0,0,0,0,0,0,1
consonant,0.3333,9,0,0,0,0,0,0,0,1
experiment,0.4,10,0,0,0,0,0,0,0,1
grand,0.2,5,0,0,0,0,0,0,0,1
pis,0.3333,3,0,0,0,0,0,0,0,1
told,0.25,4,0,0,0,0,0,0,0,0
bread,0.4,5,0,0,0,0,0,0,0,0
special,0.4286,7,0,0,0,0,0,0,0,0
hand,0.25,4,0,0,0,0,0,0,0,0
mar,0.3333,3,0,0,0,0,0,0,0,1
gran,0.25,4,0,0,0,0,0,0,0,1
veure,0.6,5,0,0,0,0,0,0,0,1
saber,0.4,5,0,0,0,0,0,0,0,1
petit,0.4,5,0,0,0,0,0,0,0,1
shout,0.4,5,0,0,0,1,0,0,0,0
should,0.3333,6,0,0,0,1,0,1,0,0
cançó,0.2,5,1,1,0,0,0,0,0,1
stone,0.4,5,0,0,0,0,0,0,0,0
soon,0.5,4,0,0,1,0,0,0,0,0
sortida,0.4286,7,0,0,0,0,0,0,0,1
vint,0.25,4,0,0,0,0,0,0,0,1
human,0.4,5,0,0,0,0,0,0,0,0
triangle,0.375,8,0,0,0,0,0,0,0,1
escoltar,0.375,8,0,0,0,0,0,0,0,1
hot,0.3333,3,0,0,0,0,0,0,0,0
down,0.25,4,0,0,0,0,0,0,0,0
dit,0.3333,3,0,0,0,0,0,0,0,1
country,0.2857,7,0,0,0,0,0,0,0,0
bastant,0.2857,7,0,0,0,0,0,0,0,1
black,0.2,5,0,0,0,1,0,0,0,0
substance,0.3333,9,0,0,0,0,0,0,0,0
quiet,0.6,5,0,0,0,0,0,0,0,0
insectes,0.375,8,0,0,0,0,0,0,0,1
cap,0.3333,3,0,0,0,0,0,0,0,1
lliura,0.5,6,0,0,0,0,0,0,0,1
nit,0.3333,3,0,0,0,0,0,0,0,1
door,0.5,4,0,0,1,0,0,1,0,0
famosa,0.5,6,0,0,0,0,0,0,0,1
made,0.5,4,0,0,0,0,0,0,0,0
dòlar,0.2,5,1,0,0,0,0,0,0,1
expect,0.3333,6,0,0,0,0,0,0,0,0
llei,0.5,4,0,0,0,0,0,0,0,1
cor,0.3333,3,0,0,0,0,0,0,0,1
were,0.5,4,0,0,0,0,0,0,0,0
tone,0.5,4,0,0,0,0,0,0,0,0
book,0.5,4,0,0,1,0,0,0,0,0
copy,0.25,4,0,0,0,0,0,0,0,0
des,0.3333,3,0,0,0,0,0,0,0,1
crear,0.4,5,0,0,0,0,0,0,0,1
dolent,0.3333,6,0,0,0,0,0,0,0,1
equip,0.6,5,0,0,0,0,0,0,1,1
jugar,0.4,5,0,0,0,0,0,0,0,1
original,0.5,8,0,0,0,0,0,0,0,0
naturalesa,0.5,10,0,0,0,0,0,0,0,1
will,0.25,4,0,0,0,0,0,0,0,0
persones,0.375,8,0,0,0,0,0,0,0,1
bring,0.2,5,0,0,0,0,0,0,1,0
anar,0.5,4,0,0,0,0,0,0,0,1
whole,0.4,5,0,0,0,1,0,0,0,0
insect,0.3333,6,0,0,0,0,0,0,0,0
tree,0.5,4,0,0,1,0,0,0,0,0
bona,0.5,4,0,0,0,0,0,0,0,1
true,0.5,4,0,0,0,0,0,0,0,0
vista,0.4,5,0,0,0,0,0,0,0,1
objecte,0.4286,7,0,0,0,0,0,0,0,1
recordar,0.375,8,0,0,0,0,0,0,0,1
temps,0.2,5,0,0,0,0,0,0,0,1
winter,0.3333,6,0,0,0,0,0,0,0,0
short,0.2,5,0,0,0,1,0,0,0,0
die,0.6667,3,0,0,0,0,0,0,0,0
gris,0.25,4,0,0,0,0,0,0,0,1
experiment,0.4,10,0,0,0,0,0,0,0,0
shine,0.4,5,0,0,0,1,0,0,0,0
dona,0.5,4,0,0,0,0,0,0,0,1
tingut,0.3333,6,0,0,0,0,0,0,0,1
just,0.25,4,0,0,0,0,0,0,1,1
fall,0.25,4,0,0,0,0,0,0,0,0
halar,0.4,5,0,0,0,0,0,0,0,1
reach,0.4,5,0,0,0,1,0,0,0,0
the,0.3333,3,0,0,0,1,0,0,0,0
plant,0.2,5,0,0,0,0,0,0,0,0
point,0.4,5,0,0,0,0,0,0,0,0
blau,0.5,4,0,0,0,0,0,0,0,1
campament,0.3333,9,0,0,0,0,0,0,0,1
trouble,0.4286,7,0,0,0,0,0,0,0,0
carretera,0.4444,9,0,0,0,0,0,0,0,1
front,0.2,5,0,0,0,0,0,0,0,0
sota,0.5,4,0,0,0,0,0,0,0,1
passar,0.3333,6,0,0,0,0,0,0,0,1
són,0.0,3,1,0,0,0,0,0,0,1
pound,0.4,5,0,0,0,0,0,0,0,0
pluja,0.4,5,0,0,0,0,0,0,0,1
durant,0.3333,6,0,0,0,0,0,0,0,1
baix,0.5,4,0,0,0,0,0,0,0,1
toward,0.3333,6,0,0,0,0,0,0,0,0
brillantor,0.3,10,0,0,0,0,0,0,0,1
estimar,0.4286,7,0,0,0,0,0,0,0,1
clothe,0.3333,6,0,0,0,1,0,0,0,0
corn,0.25,4,0,0,0,0,0,0,0,0
moviment,0.375,8,0,0,0,0,0,0,0,1
water,0.4,5,0,0,0,0,0,0,0,0
dia,0.6667,3,0,0,0,0,0,0,0,1
oli,0.6667,3,0,0,0,0,0,0,0,1
low,0.3333,3,0,0,0,0,0,0,0,0
opposite,0.5,8,0,0,0,1,0,0,0,0
chair,0.4,5,0,0,0,1,0,1,0,0
gamma,0.4,5,0,0,0,0,0,0,0,1
case,0.5,4,0,0,0,0,0,0,0,0
cercle,0.3333,6,0,0,0,0,0,0,0,1
gather,0.3333,6,0,0,0,1,0,0,0,0
prop,0.25,4,0,0,0,0,0,0,0,1
ser,0.3333,3,0,0,0,0,0,0,0,1
estrella,0.375,8,0,0,0,0,0,0,0,1
organ,0.4,5,0,0,0,0,0,0,0,0
descriure,0.4444,9,0,0,0,1,0,0,0,1
anger,0.4,5,0,0,0,0,0,0,0,0
salt,0.25,4,0,0,0,0,0,0,0,0
aquest,0.5,6,0,0,0,0,0,0,1,1
horse,0.4,5,0,0,0,0,0,0,0,0
grass,0.2,5,0,0,0,0,0,0,0,0
multiply,0.25,8,0,0,0,0,0,0,0,0
heart,0.4,5,0,0,0,0,0,1,0,0
tie,0.6667,3,0,0,0,0,0,0,0,0
music,0.4,5,0,0,0,0,0,0,0,0
viatge,0.5,6,0,0,0,0,0,0,0,1
city,0.25,4,0,0,0,0,0,0,0,0
hour,0.5,4,0,0,0,0,0,1,0,0
quart,0.4,5,0,0,0,0,0,0,0,0
before,0.5,6,0,0,0,0,0,0,0,0
mitjà,0.2,5,1,0,0,0,0,0,0,1
classe,0.3333,6,0,0,0,0,0,0,0,1
comú,0.25,4,1,0,0,0,0,0,0,1
race,0.5,4,0,0,0,0,0,0,0,0
clau,0.5,4,0,0,0,0,0,0,0,1
this,0.25,4,0,0,0,1,0,0,0,0
meant,0.4,5,0,0,0,0,0,0,0,0
tren,0.25,4,0,0,0,0,0,0,0,1
naturals,0.375,8,0,0,0,0,0,0,0,1
numeral,0.4286,7,0,0,0,0,0,0,0,1
molt,0.25,4,0,0,0,0,0,0,0,1
caught,0.3333,6,0,0,0,0,0,1,0,0
paret,0.4,5,0,0,0,0,0,0,0,1
pobres,0.3333,6,0,0,0,0,0,0,0,1
planet,0.3333,6,0,0,0,0,0,0,0,0
mentida,0.4286,7,0,0,0,0,0,0,0,1
cultius,0.4286,7,0,0,0,0,0,0,0,1
acer,0.5,4,0,0,0,0,0,0,0,1
mother,0.3333,6,0,0,0,1,0,0,0,0
similars,0.375,8,0,0,0,0,0,0,0,1
paraula,0.5714,7,0,0,0,0,0,0,0,1
sentit,0.3333,6,0,0,0,0,0,0,0,1
time,0.5,4,0,0,0,0,0,0,0,0
matar,0.4,5,0,0,0,0,0,0,0,1
aturi,0.6,5,0,0,0,0,0,0,0,1
poder,0.4,5,0,0,0,0,0,0,0,1
every,0.4,5,0,0,0,0,0,0,0,0
encara,0.5,6,0,0,0,0,0,0,0,1
object,0.3333,6,0,0,0,0,0,0,0,0
who,0.3333,3,0,0,0,1,0,0,0,0
animals,0.4286,7,0,0,0,0,0,0,0,1
paint,0.4,5,0,0,0,0,0,0,0,0
unitat,0.5,6,0,0,0,0,0,0,0,1
estudi,0.5,6,0,0,0,0,0,0,0,1
ease,0.75,4,0,0,0,0,0,0,0,0
deep,0.5,4,0,0,1,0,0,0,0,0
ells,0.25,4,0,0,0,0,0,0,0,1
motor,0.4,5,0,0,0,0,0,0,0,1
excitar,0.4286,7,0,0,0,0,0,0,0,1
pas,0.3333,3,0,0,0,0,0,0,0,1
oposada,0.5714,7,0,0,0,0,0,0,0,1
saw,0.3333,3,0,0,0,0,0,0,0,0
write,0.4,5,0,0,0,1,0,0,0,0
afavorir,0.5,8,0,0,0,0,0,0,0,1
kind,0.25,4,0,0,0,0,0,0,0,0
men,0.3333,3,0,0,0,0,0,0,0,0
acte,0.5,4,0,0,0,0,0,0,0,1
barrejar,0.375,8,0,0,0,0,0,0,0,1
whether,0.2857,7,0,0,0,1,0,0,0,0
ready,0.4,5,0,0,0,0,0,0,0,0
partit,0.3333,6,0,0,0,0,0,0,0,1
solution,0.5,8,0,0,0,0,0,0,0,0
mà,0.0,2,1,0,0,0,0,0,0,1
industry,0.25,8,0,0,0,0,0,0,0,0
include,0.4286,7,0,0,0,0,0,0,0,0
room,0.5,4,0,0,1,0,0,0,0,0
suffix,0.3333,6,0,0,0,1,0,0,0,0
bit,0.3333,3,0,0,0,0,0,0,0,0
créixer,0.2857,7,1,0,0,0,0,0,0,1
fill,0.25,4,0,0,0,0,0,0,0,1
que,0.6667,3,0,0,0,0,0,0,0,1
double,0.5,6,0,0,0,0,0,0,0,0
more,0.5,4,0,0,0,0,0,0,0,0
ciutat,0.5,6,0,0,0,0,0,0,0,1
make,0.5,4,0,0,0,0,0,0,0,0
idea,0.75,4,0,0,0,0,0,0,0,1
anat,0.5,4,0,0,0,0,0,0,0,1
truck,0.2,5,0,0,0,1,0,0,0,0
podia,0.6,5,0,0,0,0,0,0,0,1
energy,0.3333,6,0,0,0,0,0,0,0,0
campana,0.4286,7,0,0,0,0,0,0,0,1
sola,0.5,4,0,0,0,0,0,0,0,1
pla,0.3333,3,0,0,0,0,0,0,0,1
picture,0.4286,7,0,0,0,0,0,0,0,0
mes,0.3333,3,0,0,0,0,0,0,0,1
tiny,0.25,4,0,0,0,0,0,0,0,0
fort,0.25,4,0,0,0,0,0,0,0,1
encara,0.5,6,0,0,0,0,0,0,0,1
break,0.4,5,0,0,0,0,0,0,0,0
fa,0.5,2,0,0,0,0,0,0,0,1
wrong,0.2,5,0,0,0,1,0,0,0,0
success,0.2857,7,0,0,0,0,0,0,0,0
planta,0.3333,6,0,0,0,0,0,0,0,1
mass,0.25,4,0,0,0,0,0,0,0,0
count,0.4,5,0,0,0,0,0,0,0,0
nord,0.25,4,0,0,0,0,0,0,0,1
heavy,0.4,5,0,0,0,0,0,0,0,0
mil,0.3333,3,0,0,0,0,0,0,0,1
seed,0.5,4,0,0,1,0,0,0,1,0
rose,0.5,4,0,0,0,0,0,0,0,0
molts,0.2,5,0,0,0,0,0,0,0,1
back,0.25,4,0,0,0,1,0,0,0,0
gave,0.5,4,0,0,0,0,0,0,0,0
touch,0.4,5,0,0,0,1,0,0,0,0
island,0.3333,6,0,0,0,0,0,0,0,0
escala,0.5,6,0,0,0,0,0,0,0,1
separate,0.5,8,0,0,0,0,0,0,1,0
area,0.75,4,0,0,0,0,0,0,0,0
passat,0.3333,6,0,0,0,0,0,0,0,1
abric,0.4,5,0,0,0,0,0,0,0,1
paper,0.4,5,0,0,0,0,0,0,0,1
voice,0.6,5,0,0,0,0,0,0,0,0
gray,0.25,4,0,0,0,0,0,0,0,0
en,0.5,2,0,0,0,0,0,0,0,1
steel,0.4,5,0,0,1,0,0,0,0,0
me,0.5,2,0,0,0,0,0,0,0,0
song,0.25,4,0,0,0,0,0,0,0,0
edat,0.5,4,0,0,0,0,0,0,0,1
prima,0.4,5,0,0,0,0,0,0,0,1
comerç,0.3333,6,0,1,0,0,0,0,0,1
pes,0.3333,3,0,0,0,0,0,0,0,1
persobre,0.375,8,0,0,0,0,0,0,0,1
thank,0.2,5,0,0,0,1,0,0,0,0
quota,0.6,5,0,0,0,0,0,0,0,1
compare,0.4286,7,0,0,0,0,0,0,0,0
suportar,0.375,8,0,0,0,0,0,0,0,1
big,0.3333,3,0,0,0,0,0,0,0,0
them,0.25,4,0,0,0,1,0,0,0,0
arrel,0.4,5,0,0,0,0,0,0,0,1
share,0.4,5,0,0,0,1,0,0,0,0
rich,0.25,4,0,0,0,1,0,0,0,0
més,0.0,3,1,0,0,0,0,0,0,1
agut,0.5,4,0,0,0,0,0,0,0,1
pretty,0.1667,6,0,0,0,1,0,0,0,0
fast,0.25,4,0,0,0,0,0,0,1,0
sorra,0.4,5,0,0,0,0,0,0,0,1
engine,0.5,6,0,0,0,0,0,0,0,0
millor,0.3333,6,0,0,0,0,0,0,0,1
sota,0.5,4,0,0,0,0,0,0,0,1
mateixa,0.5714,7,0,0,0,0,0,0,0,1
bé,0.0,2,1,0,0,0,0,0,0,1
stood,0.4,5,0,0,1,0,0,0,0,0
populate,0.5,8,0,0,0,0,0,0,1,0
calenta,0.4286,7,0,0,0,0,0,0,0,1
nas,0.3333,3,0,0,0,0,0,0,0,1
família,0.4286,7,1,0,0,0,0,0,0,1
definitiva,0.5,10,0,0,0,0,0,0,0,1
foc,0.3333,3,0,0,0,0,0,0,0,1
remember,0.375,8,0,0,0,0,0,0,0,0
want,0.25,4,0,0,0,0,0,0,0,0
ni,0.5,2,0,0,0,0,0,0,0,1
primerenca,0.4,10,0,0,0,0,0,0,0,1
exercise,0.5,8,0,0,0,0,0,0,1,0
saber,0.4,5,0,0,0,0,0,0,0,1
think,0.2,5,0,0,0,1,0,0,0,0
tot,0.3333,3,0,0,0,0,0,0,0,1
fresh,0.2,5,0,0,0,1,0,0,0,0
muntanya,0.375,8,0,0,0,0,0,0,0,1
lift,0.25,4,0,0,0,0,0,0,0,0
cat,0.3333,3,0,0,0,0,0,0,0,1
half,0.25,4,0,0,0,0,0,0,0,0
perdut,0.3333,6,0,0,0,0,0,0,0,1
wonder,0.3333,6,0,0,0,0,0,0,0,0
apareixerà,0.5,10,1,0,0,0,0,0,0,1
once,0.5,4,0,0,0,0,0,0,0,0
tipus,0.4,5,0,0,0,0,0,0,0,1
melody,0.3333,6,0,0,0,0,0,0,0,0
develop,0.4286,7,0,0,0,0,0,0,0,0
behind,0.3333,6,0,0,0,0,0,0,0,0
he,0.5,2,0,0,0,0,0,0,0,0
with,0.25,4,0,0,0,1,0,0,0,0
banda,0.4,5,0,0,0,0,0,0,0,1
pati,0.5,4,0,0,0,0,0,0,0,1
had,0.3333,3,0,0,0,0,0,0,0,0
capturat,0.375,8,0,0,0,0,0,0,0,1
camí,0.25,4,1,0,0,0,0,0,0,1
germà,0.2,5,1,0,0,0,0,0,0,1
it,0.5,2,0,0,0,0,0,0,0,0
intèrpret,0.2222,9,1,0,0,0,0,0,0,1
seure,0.6,5,0,0,0,0,0,0,0,1
mort,0.25,4,0,0,0,0,0,0,0,1
warm,0.25,4,0,0,0,0,0,0,0,0
depend,0.3333,6,0,0,0,0,0,0,0,0
wife,0.5,4,0,0,0,0,0,0,0,0
plural,0.3333,6,0,0,0,0,0,0,0,1
happen,0.3333,6,0,0,0,1,0,0,0,0
dir,0.3333,3,0,0,0,0,0,0,0,1
vendre,0.3333,6,0,0,0,0,0,0,0,1
save,0.5,4,0,0,0,0,0,0,0,0
plane,0.4,5,0,0,0,0,0,0,0,0
viatges,0.4286,7,0,0,0,0,0,0,0,1
piece,0.6,5,0,0,0,0,0,0,0,0
guide,0.6,5,0,0,0,0,0,0,1,0
kept,0.25,4,0,0,0,0,0,0,0,0
three,0.4,5,0,0,1,1,0,0,0,0
list,0.25,4,0,0,0,0,0,0,1,0
terra,0.4,5,0,0,0,0,0,0,0,1
peça,0.5,4,0,1,0,0,0,0,0,1
girl,0.25,4,0,0,0,0,0,0,0,0
spell,0.2,5,0,0,0,0,0,0,0,0
només,0.2,5,1,0,0,0,0,0,0,1
còlera,0.3333,6,1,0,0,0,0,0,0,1
third,0.2,5,0,0,0,1,0,0,0,0
simple,0.3333,6,0,0,0,0,0,0,0,0
salvatge,0.375,8,0,0,0,0,0,0,0,1
print,0.2,5,0,0,0,0,0,0,0,1
recollir,0.375,8,0,0,0,0,0,0,0,1
groc,0.25,4,0,0,0,0,0,0,0,1
stick,0.2,5,0,0,0,1,0,0,0,0
vermell,0.2857,7,0,0,0,0,0,0,0,1
dance,0.4,5,0,0,0,0,0,0,0,0
electric,0.375,8,0,0,0,0,0,0,0,0
does,0.5,4,0,0,0,0,0,0,0,0
hurry,0.2,5,0,0,0,0,0,0,0,0
actual,0.5,6,0,0,0,0,0,0,0,1
créixer,0.2857,7,1,0,0,0,0,0,0,1
system,0.1667,6,0,0,0,0,0,0,0,0
rub,0.3333,3,0,0,0,0,0,0,0,0
així,0.5,4,1,0,0,0,0,0,0,1
espectacle,0.4,10,0,0,0,0,0,0,0,1
alta,0.5,4,0,0,0,0,0,0,0,1
somriure,0.5,8,0,0,0,0,0,0,0,1
us,0.5,2,0,0,0,0,0,0,0,0
ago,0.6667,3,0,0,0,0,0,0,0,0
ara,0.6667,3,0,0,0,0,0,0,0,1
tercer,0.3333,6,0,0,0,0,0,0,0,1
ran,0.3333,3,0,0,0,0,0,0,0,0
silent,0.3333,6,0,0,0,0,0,0,0,0
contenir,0.375,8,0,0,0,0,0,0,0,1
sure,0.5,4,0,0,0,0,0,0,0,0
fred,0.25,4,0,0,0,0,0,0,1,1
través,0.1667,6,1,0,0,0,0,0,0,1
key,0.3333,3,0,0,0,0,0,0,0,0
done,0.5,4,0,0,0,0,0,0,0,0
animal,0.5,6,0,0,0,0,0,0,0,0
anomenada,0.5556,9,0,0,0,0,0,0,0,1
town,0.25,4,0,0,0,0,0,0,0,0
boca,0.5,4,0,0,0,0,0,0,0,1
ask,0.3333,3,0,0,0,1,0,0,0,0
young,0.4,5,0,0,0,0,0,0,0,0
river,0.4,5,0,0,0,0,0,0,0,0
calor,0.4,5,0,0,0,0,0,0,0,1
pa,0.5,2,0,0,0,0,0,0,0,1
fi,0.5,2,0,0,0,0,0,0,0,1
sol,0.3333,3,0,0,0,0,0,0,0,1
magnet,0.3333,6,0,0,0,0,0,0,0,0
escriure,0.5,8,0,0,0,1,0,0,0,1
endavant,0.375,8,0,0,0,0,0,0,0,1
again,0.6,5,0,0,0,0,0,0,0,0
record,0.3333,6,0,0,0,0,0,0,0,0
store,0.4,5,0,0,0,0,0,0,0,0
else,0.5,4,0,0,0,0,0,0,0,0
pass,0.25,4,0,0,0,0,0,0,0,0
roca,0.5,4,0,0,0,0,0,0,0,1
indicate,0.5,8,0,0,0,0,0,0,1,0
guiar,0.6,5,0,0,0,0,0,0,0,1
experience,0.5,10,0,0,0,0,0,0,0,0
part,0.25,4,0,0,0,0,0,0,0,0
barret,0.3333,6,0,0,0,0,0,0,0,1
log,0.3333,3,0,0,0,0,0,0,0,0
entrar,0.3333,6,0,0,0,0,0,0,0,1
way,0.3333,3,0,0,0,0,0,0,0,0
create,0.5,6,0,0,0,0,0,0,1,0
general,0.4286,7,0,0,0,0,0,0,0,0
sembla,0.3333,6,0,0,0,0,0,0,0,1
reason,0.5,6,0,0,0,0,0,0,0,0
lenta,0.4,5,0,0,0,0,0,0,0,1
